adjustment_date,change_type,con_code,con_name
202306,add,688072.SH,
202306,add,688520.SH,
202306,add,000423.SZ,
202306,add,002432.SZ,
202306,add,600481.SH,
202306,add,688516.SH,
202306,add,688778.SH,
202306,add,300529.SZ,
202306,add,002463.SZ,
202306,add,603826.SH,
202306,add,601136.SH,
202306,add,688200.SH,
202306,add,688105.SH,
202306,add,600416.SH,
202306,add,002600.SZ,
202306,add,002518.SZ,
202306,add,300748.SZ,
202306,add,300118.SZ,
202306,add,000933.SZ,
202306,add,000893.SZ,
202306,add,688276.SH,
202306,add,300595.SZ,
202306,add,688536.SH,
202306,add,600995.SH,
202306,add,603882.SH,
202306,add,000958.SZ,
202306,add,688234.SH,
202306,add,688295.SH,
202306,add,688107.SH,
202306,add,601966.SH,
202306,add,000066.SZ,
202306,add,002791.SZ,
202306,add,603529.SH,
202306,add,603338.SH,
202306,add,300438.SZ,
202306,add,688052.SH,
202306,add,688169.SH,
202306,add,002032.SZ,
202306,add,688082.SH,
202306,add,688281.SH,
202306,add,002008.SZ,
202306,add,002761.SZ,
202306,add,002240.SZ,
202306,add,002608.SZ,
202306,add,300442.SZ,
202306,add,002487.SZ,
202306,add,300487.SZ,
202306,add,688248.SH,
202306,add,688220.SH,
202306,add,300395.SZ,
202306,remove,002434.SZ,
202306,remove,600201.SH,
202306,remove,002146.SZ,
202306,remove,603719.SH,
202306,remove,000961.SZ,
202306,remove,002191.SZ,
202306,remove,600006.SH,
202306,remove,600728.SH,
202306,remove,002396.SZ,
202306,remove,601333.SH,
202306,remove,300072.SZ,
202306,remove,300869.SZ,
202306,remove,002242.SZ,
202306,remove,603345.SH,
202306,remove,002002.SZ,
202306,remove,600216.SH,
202306,remove,600376.SH,
202306,remove,002948.SZ,
202306,remove,300630.SZ,
202306,remove,600567.SH,
202306,remove,600064.SH,
202306,remove,688122.SH,
202306,remove,002416.SZ,
202306,remove,600917.SH,
202306,remove,300463.SZ,
202306,remove,002048.SZ,
202306,remove,300168.SZ,
202306,remove,002603.SZ,
202306,remove,688088.SH,
202306,remove,600787.SH,
202306,remove,300376.SZ,
202306,remove,603613.SH,
202306,remove,002124.SZ,
202306,remove,600307.SH,
202306,remove,603605.SH,
202306,remove,002212.SZ,
202306,remove,000656.SZ,
202306,remove,000540.SZ,
202306,remove,603606.SH,
202306,remove,601872.SH,
202306,remove,000999.SZ,
202306,remove,688063.SH,
202306,remove,000990.SZ,
202306,remove,601607.SH,
202306,remove,601699.SH,
202306,remove,002701.SZ,
202306,remove,002127.SZ,
202306,remove,600648.SH,
202306,remove,600026.SH,
202306,remove,000062.SZ,
202312,add,603185.SH,
202312,add,688180.SH,
202312,add,002064.SZ,
202312,add,688425.SH,
202312,add,601061.SH,
202312,add,688120.SH,
202312,add,002044.SZ,
202312,add,688349.SH,
202312,add,002607.SZ,
202312,add,003022.SZ,
202312,add,002414.SZ,
202312,add,300502.SZ,
202312,add,301236.SZ,
202312,add,601933.SH,
202312,add,300114.SZ,
202312,add,688122.SH,
202312,add,688032.SH,
202312,add,000723.SZ,
202312,add,002756.SZ,
202312,add,688375.SH,
202312,add,002120.SZ,
202312,add,002262.SZ,
202312,add,600583.SH,
202312,add,688331.SH,
202312,add,002865.SZ,
202312,add,600004.SH,
202312,add,600977.SH,
202312,add,300601.SZ,
202312,add,300394.SZ,
202312,add,688297.SH,
202312,add,600884.SH,
202312,add,688728.SH,
202312,add,002517.SZ,
202312,add,688005.SH,
202312,add,688114.SH,
202312,add,601216.SH,
202312,add,300207.SZ,
202312,add,002472.SZ,
202312,add,603606.SH,
202312,add,003031.SZ,
202312,add,600925.SH,
202312,add,688387.SH,
202312,add,688063.SH,
202312,add,603305.SH,
202312,add,688153.SH,
202312,add,001286.SZ,
202312,add,600129.SH,
202312,add,688348.SH,
202312,add,002558.SZ,
202312,add,000539.SZ,
202312,remove,002745.SZ,
202312,remove,300741.SZ,
202312,remove,000869.SZ,
202312,remove,300182.SZ,
202312,remove,000012.SZ,
202312,remove,688256.SH,
202312,remove,601136.SH,
202312,remove,601969.SH,
202312,remove,000415.SZ,
202312,remove,601005.SH,
202312,remove,600782.SH,
202312,remove,600489.SH,
202312,remove,600372.SH,
202312,remove,601718.SH,
202312,remove,002985.SZ,
202312,remove,600297.SH,
202312,remove,002221.SZ,
202312,remove,688777.SH,
202312,remove,688009.SH,
202312,remove,300308.SZ,
202312,remove,600487.SH,
202312,remove,601869.SH,
202312,remove,600027.SH,
202312,remove,300115.SZ,
202312,remove,000807.SZ,
202312,remove,002901.SZ,
202312,remove,688116.SH,
202312,remove,002705.SZ,
202312,remove,600507.SH,
202312,remove,002081.SZ,
202312,remove,600171.SH,
202312,remove,600623.SH,
202312,remove,300482.SZ,
202312,remove,600667.SH,
202312,remove,600195.SH,
202312,remove,688289.SH,
202312,remove,002110.SZ,
202312,remove,688185.SH,
202312,remove,002183.SZ,
202312,remove,002249.SZ,
202312,remove,600718.SH,
202312,remove,600705.SH,
202312,remove,600259.SH,
202312,remove,603638.SH,
202312,remove,300618.SZ,
202312,remove,300442.SZ,
202312,remove,002250.SZ,
202312,remove,600556.SH,
202312,remove,300832.SZ,
202312,remove,600409.SH,
202406,add,300765.SZ,
202406,add,603087.SH,
202406,add,301358.SZ,
202406,add,301165.SZ,
202406,add,000032.SZ,
202406,add,601858.SH,
202406,add,002261.SZ,
202406,add,603979.SH,
202406,add,300002.SZ,
202406,add,688065.SH,
202406,add,603290.SH,
202406,add,603298.SH,
202406,add,600612.SH,
202406,add,601567.SH,
202406,add,688617.SH,
202406,add,688475.SH,
202406,add,603345.SH,
202406,add,002436.SZ,
202406,add,603728.SH,
202406,add,002202.SZ,
202406,add,601155.SH,
202406,add,002984.SZ,
202406,add,688777.SH,
202406,add,301267.SZ,
202406,add,000818.SZ,
202406,add,600763.SH,
202406,add,688213.SH,
202406,add,600754.SH,
202406,add,300054.SZ,
202406,add,600483.SH,
202406,add,300567.SZ,
202406,add,603486.SH,
202406,add,600361.SH,
202406,add,688172.SH,
202406,add,601965.SH,
202406,add,688017.SH,
202406,add,601399.SH,
202406,add,300803.SZ,
202406,add,603179.SH,
202406,add,601212.SH,
202406,add,600578.SH,
202406,add,300763.SZ,
202406,add,688561.SH,
202406,add,688525.SH,
202406,add,600098.SH,
202406,add,000921.SZ,
202406,add,601019.SH,
202406,add,600872.SH,
202406,add,601615.SH,
202406,add,600816.SH,
202406,remove,600161.SH,
202406,remove,002131.SZ,
202406,remove,688072.SH,
202406,remove,603355.SH,
202406,remove,603866.SH,
202406,remove,000975.SZ,
202406,remove,601061.SH,
202406,remove,002463.SZ,
