month,lpr_1y,cpi_yoy,ppi_yoy,pmi,inc_month
201501,5.51,0.8,-4.32,49.8,20468.67
201502,5.51,1.4,-4.8,49.9,13564.18
201503,5.3,1.4,-4.56,50.1,12406.67
201504,5.3,1.5,-4.57,50.1,10556.93
201505,5.05,1.2,-4.61,50.2,12361.5
201506,5.05,1.4,-4.81,50.2,18334.17
201507,4.8,1.6,-5.37,50.0,7418.66
201508,4.8,2.0,-5.92,49.7,10856.47
201509,4.55,1.6,-5.95,49.8,13289.77
201510,4.3,1.3,-5.9,49.8,5303.39
201511,4.3,1.5,-5.9,49.6,10224.27
201512,4.3,1.6,-5.9,49.7,18151.39
201601,4.3,1.8,-5.3,49.4,34757.72
201602,4.3,2.3,-4.9,49.0,8312.09
201603,4.3,2.3,-4.3,50.2,23930.51
201604,4.3,2.3,-3.4,50.1,7809.39
201605,4.3,2.0,-2.8,50.1,6769.54
201606,4.3,1.9,-2.6,50.0,16479.0
201607,4.3,1.8,-1.7,49.9,4791.0
201608,4.3,1.3,-0.8,50.4,14605.0
201609,4.3,1.9,0.1,50.4,17115.0
201610,4.3,2.1,1.2,51.2,8865.0
201611,4.3,2.3,3.3,51.7,18328.0
201612,4.3,2.1,5.5,51.4,16260.0
201701,4.3,2.5,6.9,51.3,37720.08
201702,4.3,0.8,7.8,51.6,11055.32
201703,4.3,0.9,7.6,51.8,25471.64
201704,4.3,1.2,6.4,51.2,19558.92
201705,4.3,1.5,5.5,51.2,17811.73
201706,4.3,1.5,5.5,51.7,25885.91
201707,4.3,1.4,5.5,51.4,21188.11
201708,4.3,1.8,6.3,51.7,20485.51
201709,4.3,1.6,6.9,52.4,25438.61
201710,4.3,1.9,6.9,51.6,15861.15
201711,4.3,1.7,5.8,51.8,22955.98
201712,4.3,1.8,4.9,51.6,18102.88
201801,4.3,1.5,4.3,51.3,31417.22
201802,4.3,2.9,3.7,50.3,12064.39
201803,4.3,2.1,3.1,51.5,17091.48
201804,4.31,1.8,3.4,51.4,22242.94
201805,4.31,1.8,4.1,51.9,11233.62
201806,4.31,1.9,4.7,51.5,20372.96
201807,4.31,2.1,4.6,51.2,18381.94
201808,4.31,2.3,4.1,51.3,24078.25
201809,4.31,2.5,3.6,50.8,23061.25
201810,4.31,2.5,3.3,50.2,9537.8
201811,4.31,2.2,2.7,50.0,16127.17
201812,4.31,1.9,0.9,49.4,19311.17
201901,4.31,1.7,0.1,49.5,46791.14
201902,4.31,1.5,0.1,49.2,9665.13
201903,4.31,2.3,0.4,50.5,29602.34
201904,4.31,2.5,0.9,50.1,16709.54
201905,4.31,2.7,0.6,49.4,17123.73
201906,4.31,2.7,0.0,49.4,26243.3
201907,4.31,2.8,-0.3,49.7,12872.11
201908,4.31,2.8,-0.8,49.5,21955.77
201909,4.2,3.0,-1.2,49.8,25142.21
201910,4.2,3.8,-1.6,49.3,8680.0
201911,4.15,4.5,-1.4,50.2,19936.92
201912,4.15,4.5,-0.5,50.2,22013.0
202001,4.15,5.4,0.1,50.0,50535.0
202002,4.05,5.2,-0.4,35.7,8737.0
202003,4.05,4.3,-1.5,52.0,51838.0
202004,3.85,3.3,-3.1,50.8,31027.0
202005,3.85,2.4,-3.7,50.6,31866.0
202006,3.85,2.5,-3.0,50.9,34681.0
202007,3.85,2.7,-2.4,51.1,16928.0
202008,3.85,2.4,-2.0,51.0,35853.0
202009,3.85,1.7,-2.1,51.5,34693.0
202010,3.85,0.5,-2.1,51.4,13929.0
202011,3.85,-0.5,-1.5,52.1,21355.0
202012,3.85,0.2,-0.4,51.9,16476.0
202101,3.85,-0.3,0.3,51.3,51884.0
202102,3.85,-0.2,1.7,50.6,17243.0
202103,3.85,0.4,4.4,51.9,33762.0
202104,3.85,0.9,6.8,51.1,18570.0
202105,3.85,1.3,9.0,51.0,19522.0
202106,3.85,1.1,8.8,50.9,37017.0
202107,3.85,1.0,9.0,50.4,10752.0
202108,3.85,0.8,9.5,50.1,29893.0
202109,3.85,0.7,10.7,49.6,29026.0
202110,3.85,1.5,13.5,49.2,16176.0
202111,3.85,2.3,12.9,50.1,25983.0
202112,3.8,1.5,10.3,50.3,23580.0
202201,3.7,0.9,9.1,50.1,61759.0
202202,3.7,0.9,8.8,50.2,12170.0
202203,3.7,1.5,8.3,49.5,46565.0
202204,3.7,2.1,8.0,47.4,9327.0
202205,3.7,2.1,6.4,49.6,28415.0
202206,3.7,2.5,6.1,50.2,51926.0
202207,3.7,2.7,4.2,49.0,7785.0
202208,3.65,2.5,2.3,49.4,24712.0
202209,3.65,2.8,0.9,50.1,35411.0
202210,3.65,2.1,-1.3,49.2,9134.0
202211,3.65,1.6,-1.3,48.0,19837.0
202212,3.65,1.8,-0.7,47.0,13063.0
202301,3.65,2.1,-0.8,50.1,59956.0
202302,3.65,1.0,-1.4,52.6,31610.0
202303,3.65,0.7,-2.5,51.9,53867.0
202304,3.65,0.1,-3.6,49.2,12249.0
202305,3.65,0.2,-4.6,48.8,15560.0
202306,3.55,0.0,-5.4,49.0,42265.0
202307,3.55,-0.3,-4.4,49.3,5366.0
202308,3.45,0.1,-3.0,49.7,31279.0
202309,3.45,0.0,-2.5,50.2,41326.0
202310,3.45,-0.2,-2.6,49.5,18441.0
202311,3.45,-0.5,-3.0,49.4,24554.0
202312,3.45,-0.3,-2.7,49.0,19326.0
202401,3.45,-0.8,-2.5,49.2,64734.0
202402,3.45,0.7,-2.7,49.1,14959.0
202403,3.45,0.1,-2.8,50.8,48335.0
202404,3.45,0.3,-2.5,50.4,-658.0
202405,3.45,0.3,-1.4,49.5,20623.0
202406,3.45,0.2,-0.8,49.5,32985.0
202407,3.35,0.5,-0.8,49.4,7707.0
202408,3.35,0.6,-1.8,49.1,30323.0
202409,3.35,0.4,-2.8,49.8,37635.0
202410,3.1,0.3,-2.9,50.1,14120.0
202501,3.1,0.5,-2.3,49.1,70567.0
202502,3.1,-0.7,-2.2,50.2,
202503,3.1,-0.1,-2.5,50.5,
202504,3.1,-0.1,-2.7,,
202505,3.0,,,,
