date,sh_close,sh_pct,sz_close,sz_pct,net_mainflow,net_mainflow_pct,super_large_netflow,super_large_netflow_pct,large_netflow,large_netflow_pct,mid_netflow,mid_netflow_pct,small_netflow,small_netflow_pct
2025-06-13,3377.0,-0.75,10122.11,-1.1,-605.87,-4.13,-292.67,-1.99,-313.2,-2.13,37.05,0.25,568.82,3.88
2025-06-12,3402.66,0.01,10234.33,-0.11,-162.08,-1.27,-32.84,-0.26,-129.24,-1.02,-20.21,-0.16,182.28,1.43
2025-06-11,3402.32,0.52,10246.02,0.83,-21.92,-0.17,24.24,0.19,-46.16,-0.37,-86.49,-0.69,108.41,0.86
2025-06-10,3384.82,-0.44,10162.18,-0.86,-565.78,-4.0,-260.9,-1.84,-304.87,-2.15,53.52,0.38,512.26,3.62
2025-06-09,3399.77,0.43,10250.14,0.65,3.93,0.03,60.51,0.47,-56.57,-0.44,-83.84,-0.65,79.9,0.62
2025-06-06,3385.36,0.04,10183.7,-0.19,-265.05,-2.3,-106.43,-0.92,-158.61,-1.38,17.03,0.15,248.01,2.15
2025-06-05,3384.1,0.23,10203.5,0.58,-39.04,-0.3,30.67,0.24,-69.71,-0.54,-41.06,-0.32,80.11,0.62
2025-06-04,3376.2,0.42,10144.58,0.87,1.37,0.01,26.08,0.23,-24.71,-0.21,-58.04,-0.5,56.67,0.49
2025-06-03,3361.98,0.43,10057.17,0.16,-95.94,-0.84,-24.76,-0.22,-71.18,-0.62,-39.66,-0.35,135.6,1.19
2025-05-30,3347.49,-0.47,10040.63,-0.85,-496.74,-4.36,-258.06,-2.27,-238.68,-2.1,106.67,0.94,390.07,3.42
2025-05-29,3363.45,0.7,10127.2,1.24,140.2,1.18,174.33,1.47,-34.13,-0.29,-193.9,-1.64,53.7,0.45
2025-05-28,3339.93,-0.02,10003.27,-0.26,-279.38,-2.77,-100.11,-0.99,-179.27,-1.78,18.91,0.19,260.47,2.58
2025-05-27,3340.69,-0.18,10029.11,-0.61,-246.33,-2.47,-79.64,-0.8,-166.69,-1.67,5.35,0.05,240.98,2.41
2025-05-26,3346.84,-0.05,10091.16,-0.41,-120.26,-1.19,-26.98,-0.27,-93.28,-0.92,-49.38,-0.49,169.64,1.68
2025-05-23,3348.37,-0.94,10132.41,-0.85,-375.01,-3.25,-146.17,-1.26,-228.84,-1.98,-50.0,-0.43,425.01,3.68
2025-05-22,3380.19,-0.22,10219.62,-0.72,-412.48,-3.74,-191.28,-1.73,-221.2,-2.01,26.51,0.24,385.97,3.5
2025-05-21,3387.57,0.21,10294.22,0.44,-301.6,-2.57,-105.77,-0.9,-195.83,-1.67,24.16,0.21,277.44,2.36
2025-05-20,3380.48,0.38,10249.17,0.77,-45.65,-0.39,39.38,0.34,-85.03,-0.73,-47.15,-0.4,92.79,0.79
2025-05-19,3367.58,0.0,10171.09,-0.08,-147.69,-1.36,-46.81,-0.43,-100.88,-0.93,-5.46,-0.05,153.15,1.41
2025-05-16,3367.46,-0.4,10179.6,-0.07,-40.21,-0.37,29.96,0.28,-70.17,-0.64,-62.7,-0.58,102.91,0.94
2025-05-15,3380.82,-0.68,10186.45,-1.62,-629.17,-5.46,-315.46,-2.74,-313.71,-2.72,101.19,0.88,527.98,4.58
